1.1250000000e+05;1.0541895379e+00;2.5637502929e-01;1.0849164657e+00;2.3856503174e-01
1.1458333333e+05;1.0112900806e+00;2.2462695579e-01;1.0359367241e+00;2.1857078104e-01
1.1666666667e+05;9.8768446239e-01;2.4099197720e-01;1.0166600859e+00;2.3932078404e-01
1.1875000000e+05;9.8034302108e-01;2.4065397433e-01;1.0094487478e+00;2.4071943546e-01
1.2083333333e+05;9.9917153059e-01;2.4847080402e-01;1.0296025874e+00;2.4373293491e-01
1.2291666667e+05;9.7696853398e-01;2.5762533767e-01;1.0103654443e+00;2.5782943173e-01
1.2500000000e+05;9.9601479906e-01;2.8348609858e-01;1.0355722322e+00;2.7728800908e-01
1.2708333333e+05;9.1858983114e-01;2.0762594743e-01;9.4176207819e-01;2.2229157855e-01
1.2916666667e+05;7.8533122929e-01;1.3756358885e-01;7.9728845512e-01;1.7340704888e-01
1.3125000000e+05;1.3054405652e+00;4.3579564051e-01;1.3762604802e+00;3.2219777493e-01
1.3333333333e+05;1.1155582465e+00;2.5671283329e-01;1.1447146719e+00;2.2618284087e-01
1.3541666667e+05;9.7330354311e-01;6.1709261717e-01;1.1524422264e+00;5.6505837959e-01
1.3750000000e+05;1.0888566954e+00;2.7755920852e-01;1.1236761176e+00;2.4959339475e-01
1.3958333333e+05;1.0153025283e+00;1.9961855535e-01;1.0347399633e+00;1.9413375875e-01
1.4166666667e+05;1.1062380836e+00;3.0200238702e-01;1.1467206022e+00;2.6650536472e-01
1.4375000000e+05;1.0901973978e+00;2.0652638849e-01;1.1095870923e+00;1.8722086559e-01
1.4583333333e+05;1.0575629805e+00;2.3653270859e-01;1.0836914597e+00;2.2003699982e-01
1.4791666667e+05;1.0510635511e+00;2.6215309909e-01;1.0832630502e+00;2.4442986532e-01
1.5000000000e+05;7.9952111956e-01;-5.2214763538e-02;8.0122431450e-01;-6.5214937223e-02
1.5208333333e+05;1.0142005485e+00;2.3433073134e-01;1.0409196147e+00;2.2706511882e-01
1.5416666667e+05;1.0788961878e+00;2.1157606726e-01;1.0994459587e+00;1.9364680150e-01
1.5625000000e+05;1.0378912163e+00;2.4555455511e-01;1.0665435840e+00;2.3231809698e-01
1.5833333333e+05;9.9728247888e-01;2.6504182254e-01;1.0319009208e+00;2.5975950309e-01
1.6041666667e+05;1.0726134946e+00;2.1741420716e-01;1.0944261721e+00;1.9998628762e-01
1.6250000000e+05;9.9473293412e-01;2.9544121521e-01;1.0376796817e+00;2.8870734559e-01
1.6458333333e+05;1.0484436247e+00;2.6457079515e-01;1.0813101960e+00;2.4718565681e-01
1.6666666667e+05;9.8883295945e-01;3.1412910047e-01;1.0375296205e+00;3.0759394914e-01
1.6875000000e+05;8.8630819490e-01;4.2730056422e-01;9.8393495137e-01;4.4923575987e-01
1.7083333333e+05;1.0006358759e+00;-2.8832226446e-01;1.0413461886e+00;-2.8053997777e-01
1.7291666667e+05;1.0976454092e+00;3.2344862865e-02;1.0981218669e+00;2.9458972293e-02
1.7500000000e+05;1.1615727292e+00;7.2374548163e-02;1.1638252792e+00;6.2226932671e-02
1.7708333333e+05;1.0739324202e+00;1.7390781115e-01;1.0879222260e+00;1.6054190343e-01
1.7916666667e+05;1.0047920817e+00;2.1775237291e-01;1.0281163472e+00;2.1341372119e-01
1.8125000000e+05;1.1094187790e+00;1.5060990130e-01;1.1195951811e+00;1.3493080819e-01
1.8333333333e+05;1.0335261361e+00;1.7137923807e-01;1.0476388296e+00;1.6432471872e-01
1.8541666667e+05;1.0633517554e+00;1.6011155830e-01;1.0753383964e+00;1.4944982675e-01
1.8750000000e+05;9.5667015392e-01;2.2375942028e-01;9.8248972593e-01;2.2976359607e-01
1.8958333333e+05;6.7919404616e-01;3.3709495453e-01;7.5824637204e-01;4.6069616541e-01
1.9166666667e+05;1.1592341415e+00;4.4617904722e-02;1.1600924758e+00;3.8470133151e-02
1.9375000000e+05;1.0989710031e+00;7.1747595738e-02;1.1013105752e+00;6.5193639559e-02
1.9583333333e+05;1.1067144089e+00;1.3048620348e-01;1.1143802906e+00;1.1736230218e-01
1.9791666667e+05;1.1773549131e+00;6.6490769313e-02;1.1792309417e+00;5.6414777871e-02
2.0000000000e+05;9.8392824147e-01;1.4591380399e-01;9.9468870636e-01;1.4722420375e-01
2.0208333333e+05;1.2130461053e+00;1.4905794605e-01;1.2221698429e+00;1.2226612665e-01
2.0416666667e+05;1.0730655108e+00;-2.1033149539e-02;1.0732716263e+00;-1.9598483326e-02
2.0625000000e+05;1.1892216746e+00;2.2418241977e-01;1.2101677358e+00;1.8632528981e-01
2.0833333333e+05;1.1858605268e+00;2.5851097933e-01;1.2137104743e+00;2.1463651194e-01
2.1041666667e+05;7.0899754362e-01;7.0232802829e-02;7.1246765783e-01;9.8737183297e-02
2.1250000000e+05;9.5846605687e-01;1.6160812513e-01;9.7199504540e-01;1.6704007044e-01
2.1458333333e+05;1.0655656237e+00;6.6476398017e-02;1.0676372090e+00;6.2305272416e-02
2.1666666667e+05;1.1956951239e+00;1.7724648880e-01;1.2087609967e+00;1.4716548670e-01
2.1875000000e+05;1.2128988747e+00;2.5815319157e-01;1.2400672363e+00;2.0971051904e-01
2.2083333333e+05;8.6747502201e-01;8.9773962974e-02;8.7210795102e-01;1.0312171929e-01
2.2291666667e+05;1.0130348444e+00;1.6568820804e-01;1.0264950941e+00;1.6212083478e-01
2.2500000000e+05;1.0896321027e+00;1.2388438296e-01;1.0966519318e+00;1.1320765691e-01
2.2708333333e+05;1.1912942821e+00;2.2352906731e-01;1.2120838711e+00;1.8547881979e-01
2.2916666667e+05;1.3495322025e+00;6.0465874195e-01;1.4787999729e+00;4.2123163924e-01
2.3125000000e+05;8.6933135467e-01;-2.5395444721e-02;8.6970220928e-01;-2.9204312392e-02
2.3333333333e+05;9.9868881779e-01;3.6593583588e-02;9.9935901714e-01;3.6625242178e-02
2.3541666667e+05;1.0961257205e+00;2.6794012603e-03;1.0961289953e+00;2.4444239136e-03
2.3750000000e+05;1.0300801554e+00;1.4182059796e-01;1.0397971959e+00;1.3681901997e-01
2.3958333333e+05;1.0720257220e+00;4.2978532660e-01;1.1549695129e+00;3.8129020729e-01
2.4166666667e+05;1.0269489531e+00;2.1343051926e-02;1.0271707152e+00;2.0779981072e-02
2.4375000000e+05;1.0024772917e+00;3.6029876477e-02;1.0031245548e+00;3.5925377060e-02
2.4583333333e+05;1.0623938032e+00;1.0841113043e-01;1.0679108419e+00;1.0169220495e-01
2.4791666667e+05;1.0846158331e+00;2.1140399448e-02;1.0848218388e+00;1.9488672673e-02
2.5000000000e+05;8.9983026349e-01;4.4302833158e-01;1.0029798630e+00;4.5750612971e-01
2.5208333333e+05;1.0489487181e+00;1.1847289544e-01;1.0556179423e+00;1.1246779774e-01
